user,ulasan,label,tanggal
Nindya Widiyanti,"Banyak membantu..dalam jual beli, produk berkualitas & harga ringan di kantong, terima kasih shopee",1,14 Maret 2021
Abdullah ibrahim,Ayo teman-teman kita mendownload shopee Karena aplikasi ini membuat aku senang aku senang sekali membuka paket-paket yang sudah datang dengan aku sudah membeli banyak di rumah Assalamualaikum warahmatullahi wabarakatuh,1,14 Maret 2021
Dita Helina,"App sangggatttt rekomendasiiiiiii, buat belanja semakin keceeee tanpa harus repot dan susah cari barang",1,12 Maret 2021
Ngatmi Ami,"Shopee memang is the bast, tapi kalu boleh saran untuk SPinjam nya kalau bisa di tambah llimit bulan nya jadi 6 bulan ya admin...",1,16 Maret 2021
Rifki pjm Kosong Dlapan,"Aplikasi belanja mudah segala sesuatu kebutuhan ada, penjual pada ramah dan pelayananya cepat.",1,16 Maret 2021
Dewi Lampung,Aku kasih bintang 5 deh.. mudah.mudahan cepet dapet spaylater jadi biar tambah semangat belanja nya,1,16 Maret 2021
Wildan Muhammad,Baabi emng aplikasi ini. Penipuan. Setiap saya punya uang selalu dihabiskan oleh aplikasi ini karena saya pake buat belanja,1,28 Februari 2021
Heru Aguanto,"Ayo donk shopee buat aplikasi car sama bike juga,, skrg sdh maen food ,, saya yakin bisa bersaing sama gojek dan grab,",1,01 Maret 2021
Ezthy iswahyuni,"Suka banget ma shopee the best banget deh ,, selain mempermudah belanja oline di shopee juga terpercya reseller nya gak kaya toko sebelah , dan banyak keuntungan lain nya juga harga pun lebih murah2 ,😍😍😍",1,05 Maret 2021
nizam alfaQih,"Pengalaman aku slama blanja dishopee slalu puas dgn produk nya apa yg dijual slalu real pick gak kecewa, tpi aku jug hrs liat reting bintang nya ulasan dlm setiap pembelianya jug bnyak nya produk yg dijual.",1,04 Maret 2021
Kumha Aing,Aplikasi ini jelek banget!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boong😚😚,1,21 Februari 2021
Ananda Putri,shoope produk2 nya sangat memuaskan bangeet.tempat belanja online terpercaya nomer 1 di indonesia.,1,27 Februari 2021
Idi Haidir,Semua barang lumayan murah... Bagus bagus lagi dan bisa dijual kembali dikampung halaman saya,1,12 Maret 2021
Sri Handayani,"Thankyou shopee karna sudah mempercayai saya dengan memberi limit paylater juga limit Spijam , semoga limit yang shopee berikan bermanfaat untuk saya, 🥰🥰🥰",1,06 Maret 2021
Mas Syam,Pling markotop.. Menu yg simpel dan mudah untuk pembeli mencari barang yang akan di order.. Good luck lha buat shopee 👍👍👍,1,14 Maret 2021
Dicky Zulkarnaen,Ok bagus dan saya sangat suka klu dapat gratis ongkir karena saya sering belanja di shopee.the best lah shopee,1,06 Maret 2021
Eli Wijayanti,Aplikasi belanja yg paling lengkap dan terpercaya😍😍😍 Shopi paling top. Selalu memberi diskon bahkan geratis ongkir😍😍😍,1,28 Februari 2021
Bunda REALIFA,"Aku bisa belanja banyak barang dari apk shoope,,and setiap hari ny buanyak bgt voucer"" menarik",1,06 Maret 2021
